Rec,Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Mins,Gls,Ast,Clean sheets,xG - Goals,npxG,npxG - npG,npxG per 90,npxG per Shot (min. 10 shots),Offsides per npxG (min. 1 npxG),Assist per Key Pass (min. 5 KP),Net Fouls,Yellow Cards per Tackle,Tackles Won per 90,Defensive Actions per 90,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,Substitute Appearances,Minutes per Game,Tackles Attempted,Distance per 90,Clearances per 90
- - -,,Iván Martín,"M (LC), AM (RLC)",A. Bilbao,,Spain (First Division),-,"£76,000 p/w",30/6/2032,ESP,BAS,-,178 cm,75 kg,Left,30,Fairly Determined,Scouting Required,£44M - £66M,33 (9),"2,852",6,8,-,2.71,7.95,2.95,0.251,0.096,0.38,0.116,-22,0.025,0.978,5.77,33 (9),33,"2,852",128.62,6.97,6,0.19,83,27,33%,2.62,0.85,1,1,100%,3,8.71,19,1.8,8,0.25,69,2.18,"1,716",54.15,"1,500",47.34,87%,103,19,18%,36,1.14,37,444.4km,157,4.95,80,2.52,51%,1,31,0.98,78%,15,1,0,48,1.51,31,-,-,-,-,-,-,-,-,40,1,78%,3,9,67.9,40,14.024,0.98
- - -,,Norman Els,"D (L), DM, M (C)",FC Bayern,,Germany (Bundesliga),-,"£35,500 p/w",30/6/2033,GER,,-,177 cm,73 kg,Left,21,Driven,Scouting Required,£9M - £13.5M,7 (16),990,0,0,-,0.33,0.33,0.33,0.03,,,0,11,0.083,1.818,8.37,7 (16),7,990,88.62,6.88,0,-,4,0,0%,0.36,0,0,0,-,1,0.33,1,0.11,0,-,10,0.91,810,73.64,772,70.18,95%,7,1,14%,0,-,3,137.4km,44,4,30,2.73,68%,1,20,1.82,83%,14,2,0,11,1,28,-,-,-,-,-,-,-,-,24,0,-,0,16,43.04,24,12.491,2.55
- - -,,Leonidas Stergiou,D (C),Rennes,,France (Ligue 1 Uber Eats),-,"£40,000 p/w",30/6/2033,SUI,GRE,-,181 cm,74 kg,Right,27,Fairly Professional,Scouting Required,£11M - £13.5M,25 (2),"2,258",0,0,-,,,,,,,,10,0.176,0.917,21.91,25 (2),25,"2,258",173.12,6.82,0,-,0,-,-,-,-,0,0,-,2,0,1,0.04,0,-,1,0.04,"1,458",58.11,"1,418",56.52,97%,0,0,0%,11,0.44,3,267.7km,354,14.11,261,10.4,74%,5,23,0.92,68%,13,6,0,78,3.11,195,-,-,-,-,-,-,-,-,34,0,-,1,2,83.63,34,10.67,7.77
- - -,,Brandon Williams,"D (RL), WB (L)",West Ham,,England (Premier Division),-,"£86,000 p/w",30/6/2032,ENG,,-,182 cm,63 kg,Right,28,Resolute,Scouting Required,£20M - £31M,25 (1),"2,197",0,1,-,0.15,0.15,0.15,0.006,,,0.048,55,0.11,3.072,18.92,25 (1),25,"2,197",179.64,6.79,0,-,4,0,0%,0.16,0,0,0,-,5,0.15,4,0.38,1,0.04,21,0.86,"1,149",47.07,"1,003",41.09,87%,84,16,19%,25,1.02,11,324.9km,190,7.78,136,5.57,72%,8,75,3.07,82%,66,10,3,83,3.4,123,-,-,-,-,-,-,-,-,91,0,-,0,1,84.5,91,13.31,5.04
- - -,,Caleb Ekuban,"AM (RLC), ST (C)",Genoa,,Italy (Serie A),-,"£26,000 p/w",30/6/2029,GHA,ITA,Trained in nation (0-21),182 cm,79 kg,Right,35,Fairly Professional,Scouting Required,£0 - £9K,1 (8),289,0,0,-,0.29,0.29,0.29,0.073,,,0,-4,0,2.25,12.39,1 (8),1,289,58,6.77,0,-,6,3,50%,1.87,0.93,0,0,-,0,0.29,3,4.28,0,-,6,1.87,182,56.68,156,48.58,86%,7,1,14%,4,1.25,5,51.3km,27,8.41,16,4.98,59%,1,9,2.8,75%,1,0,0,3,0.93,6,-,-,-,-,-,-,-,-,12,0,-,0,8,32.11,12,15.976,1.87
- - -,,Jordi Mboula,M/AM (RL),Rennes,,France (Ligue 1 Uber Eats),-,"£41,000 p/w",30/6/2031,CGO,ESP,-,183 cm,74 kg,Right,30,Fairly Ambitious,Scouting Required,£9.6M - £12M,30,"2,351",5,4,-,1.99,5.47,2.47,0.209,0.093,1.83,0.078,-11,0.022,1.378,8.08,30,30,"2,351",167.97,6.82,5,0.19,59,25,42%,2.26,0.96,2,2,100%,10,6.99,12,2.4,4,0.15,51,1.95,"1,132",43.33,953,36.48,84%,129,35,27%,70,2.68,34,372.2km,161,6.16,105,4.02,65%,1,36,1.38,80%,23,1,0,48,1.84,34,-,-,-,-,-,-,-,-,45,2,80%,2,,78.37,45,14.248,1.30
- - -,,Romário Baró,"DM, M/AM (C)",Valencia,,Spain (First Division),-,"£38,500 p/w",30/6/2031,GNB,POR,-,180 cm,66 kg,Right,29,Fairly Professional,Scouting Required,£20M - £25M,27 (7),"2,545",3,5,-,0.97,3.97,0.97,0.14,0.142,0.25,0.227,-5,0,1.662,6.44,27 (7),27,"2,545",162.41,7.01,3,0.11,28,12,43%,0.99,0.42,0,0,-,1,3.97,15,0.89,5,0.18,22,0.78,"1,943",68.71,"1,767",62.49,91%,23,11,47%,4,0.14,23,341.3km,98,3.47,64,2.26,65%,1,47,1.66,94%,18,0,0,36,1.27,39,-,-,-,-,-,-,-,-,50,0,-,2,7,74.85,50,12.07,1.38
- - -,,Hannibal,"M (C), AM (LC)",Milan,,Italy (Serie A),-,"£74,000 p/w",30/6/2030,TUN,FRA,-,182 cm,71 kg,Right,26,Perfectionist,Scouting Required,£12M - £14.5M,27 (5),"2,387",1,4,-,1.12,2.12,1.12,0.08,0.096,0.47,0.121,5,0.154,0.792,6.05,27 (5),27,"2,387",232.1,6.98,1,0.04,22,10,45%,0.83,0.38,0,0,-,1,2.12,8,0.6,4,0.15,33,1.24,"2,423",91.36,"2,241",84.5,92%,35,12,34%,28,1.06,22,354.8km,119,4.49,78,2.94,66%,0,21,0.79,81%,27,4,1,32,1.21,45,-,-,-,-,-,-,-,-,26,0,-,0,5,74.59,26,13.377,1.70
- - -,,Manu Koné,"DM, M (C), AM (L)",Borussia M'gladbach,,Germany (Bundesliga),-,"£47,000 p/w",30/6/2033,FRA,CIV,-,185 cm,79 kg,Right,28,Fairly Determined,Scouting Required,£20M - £31M,31,"2,458",3,4,-,1.93,4.93,1.93,0.181,0.126,0.2,0.108,-11,0.067,1.391,6.24,31,31,"2,458",79.29,7.11,3,0.11,39,10,26%,1.43,0.37,0,0,-,1,4.93,12,0.44,4,0.15,37,1.35,"1,954",71.55,"1,753",64.19,90%,19,1,5%,17,0.62,37,334.8km,117,4.28,84,3.08,72%,0,38,1.39,84%,26,3,0,23,0.84,42,-,-,-,-,-,-,-,-,45,0,-,1,,79.29,45,12.259,1.54
- - -,,Alessio Cragno,GK,Torino,,Italy (Serie A),-,"£37,500 p/w",30/6/2030,ITA,,Trained in nation (15-21),184 cm,76 kg,Right,34,Fairly Professional,Scouting Required,£130K - £1.3M,20,"1,830",0,0,6,,,,,,,,0,,0,,20,20,"1,830",210,6.88,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,899,44.21,730,35.9,81%,-,-,-,0,-,0,130.1km,-,-,-,-,-,0,0,0,0%,0,0,0,4,0.2,-,28,1.38,6,-584%,39,7,31,-1%,2,0,-,0,,91.5,,6.398,
- - -,,Yeray,D (RC),A. Bilbao,,Spain (First Division),-,"£29,000 p/w",30/6/2031,ESP,BAS,-,182 cm,78 kg,Right,34,Resolute,Scouting Required,Not for Sale,35 (1),"3,106",0,2,-,1.51,1.51,1.51,0.044,0.108,1.32,0.154,21,0.208,1.13,20.29,35 (1),35,"3,106",279.53,7.06,0,-,14,2,14%,0.41,0.06,0,0,-,2,1.51,4,1.14,2,0.06,13,0.38,"2,432",70.47,"2,316",67.11,95%,14,9,64%,4,0.12,14,351.9km,439,12.72,344,9.97,78%,6,39,1.13,81%,35,10,1,90,2.61,242,-,-,-,-,-,-,-,-,48,0,-,2,1,86.28,48,10.197,7.01
- - -,,Maximilian Wöber,"D (LC), DM",OL,,France (Ligue 1 Uber Eats),-,"£50,000 p/w",30/6/2030,AUT,,-,188 cm,83 kg,Left,31,Light-Hearted,Scouting Required,Not for Sale,32 (5),"2,973",1,3,-,2.74,1.46,1.46,0.044,0.073,5.48,0.15,16,0.042,1.756,22.21,32 (5),32,"2,973",246.12,7.04,1,0.03,20,9,45%,0.61,0.27,3,1,33%,8,3.74,3,0.2,3,0.09,20,0.61,"2,222",67.27,"2,093",63.36,94%,46,9,19%,13,0.39,9,399.4km,398,12.05,341,10.32,86%,7,58,1.76,82%,25,3,0,112,3.39,228,-,-,-,-,-,-,-,-,71,1,82%,4,5,80.35,71,12.091,6.90
- - -,,Piero Hincapié,"D (LC), WB (L)",VfB Stuttgart,,Germany (Bundesliga),-,"£41,500 p/w",30/6/2031,ECU,,-,184 cm,66 kg,Left,27,Fairly Professional,Scouting Required,£14.5M - £17.5M,22,"1,980",1,2,-,-0.51,0.49,-0.51,0.022,,,0.286,5,0.15,0.727,22.36,22,22,"1,980",90,7.04,1,0.05,6,2,33%,0.27,0.09,0,0,-,0,0.49,0,-,2,0.09,7,0.32,"1,180",53.64,"1,125",51.14,95%,3,1,33%,0,-,10,223.2km,304,13.82,240,10.91,79%,5,16,0.73,80%,15,3,0,44,2,195,-,-,-,-,-,-,-,-,20,0,-,1,,90,20,10.145,8.86
- - -,Ret,Kevin Mbabu,"D (RLC), WB (R)",Hoffenheim,,Germany (Bundesliga),-,"£64,000 p/w",30/6/2029,SUI,COD,-,184 cm,79 kg,Right,34,Fairly Determined,Scouting Required,£50K - £500K,33,"2,880",0,3,-,1.19,1.19,1.19,0.037,0.099,9.24,0.103,39,0.125,1.75,15.9,33,33,"2,880",176.54,6.95,0,-,12,0,0%,0.38,0,0,0,-,11,1.19,6,0.34,3,0.09,29,0.91,"1,598",49.94,"1,471",45.97,92%,157,35,22%,26,0.81,32,399.3km,257,8.03,211,6.59,82%,2,56,1.75,88%,71,8,0,91,2.84,175,-,-,-,-,-,-,-,-,64,0,-,0,,87.27,64,12.478,5.47
- - -,,Matías Baldo,D/M (C),Liverpool,,England (Premier Division),-,"£77,000 p/w",30/6/2033,ARG,,Trained in nation (15-21),188 cm,82 kg,Right,20,Fairly Professional,Scouting Required,£32M - £49M,7 (12),851,2,1,-,-0.31,1.69,-0.31,0.179,0.141,0,0.059,2,0.05,1.5,13.18,7 (12),7,851,77.63,7.02,2,0.21,12,3,25%,1.27,0.32,0,0,-,0,1.69,0,-,1,0.11,17,1.8,778,82.28,717,75.83,92%,10,1,10%,5,0.53,6,122.9km,71,7.51,62,6.56,87%,1,15,1.59,75%,8,1,0,15,1.59,36,-,-,-,-,-,-,-,-,20,0,-,1,12,44.79,20,12.998,3.81
- - -,,Andreaw Gravillon,D (C),Reims,,France (Ligue 1 Uber Eats),-,"£21,000 p/w",30/6/2032,FRA,GLP,Trained in nation (15-21),188 cm,75 kg,Right Only,31,Balanced,Scouting Required,Not for Sale,33,"2,970",2,0,-,-0.93,1.07,-0.93,0.032,,0,,14,0.2,0.97,29.53,33,33,"2,970",180,7,2,0.06,9,3,33%,0.27,0.09,0,0,-,0,1.07,0,-,0,-,1,0.03,"1,829",55.42,"1,774",53.76,97%,0,0,0%,0,-,3,353.6km,561,17,453,13.73,81%,12,32,0.97,80%,17,8,0,91,2.76,381,-,-,-,-,-,-,-,-,40,0,-,1,,90,40,10.715,11.55
- - -,,Neal Maupay,ST (C),Hoffenheim,,Germany (Bundesliga),-,"£34,500 p/w",30/6/2030,FRA,ARG,-,171 cm,68 kg,Right,32,Fairly Determined,Scouting Required,£275K - £6.6M,6 (25),965,8,0,-,-3.76,1.96,-3.04,0.183,0.039,1.53,0,-12,0,0.933,4.01,6 (25),6,965,68.74,6.86,8,0.75,50,21,42%,4.66,1.96,3,3,100%,3,4.24,1,0.13,0,-,8,0.75,399,37.21,345,32.18,86%,5,0,0%,4,0.37,27,137.8km,94,8.77,25,2.33,27%,0,10,0.93,77%,15,0,1,4,0.37,9,-,-,-,-,-,-,-,-,13,3,77%,0,25,31.13,13,12.852,0.84
- - -,,Ferro,D (C),Roma,,Italy (Serie A),-,"£51,000 p/w",30/6/2031,POR,,-,190 cm,82 kg,Right,32,Fairly Loyal,Scouting Required,£6M - £7.4M,9 (4),885,0,0,-,0.24,0.24,0.24,0.024,,,,1,0.071,1,19.67,9 (4),9,885,93.92,6.89,0,-,2,1,50%,0.2,0.1,0,0,-,0,0.24,0,-,0,-,0,-,596,60.61,573,58.27,96%,0,0,0%,4,0.41,3,105.7km,111,11.29,88,8.95,79%,2,10,1.02,71%,4,1,0,35,3.56,60,-,-,-,-,-,-,-,-,14,0,-,0,4,68.08,14,10.749,6.10
- - -,Wnt,Nikolas Spalek,"M (LC), AM (RLC)",Benevento,,Italy (Serie A),£550K,"£15,750 p/w",30/6/2031,SVK,,-,171 cm,63 kg,Right,32,Spirited,Scouting Required,£550K - £1.2M,12 (12),"1,195",1,2,-,-0.11,0.89,-0.11,0.067,0.081,,0.061,3,0.056,1.13,4.82,12 (12),12,"1,195",91.76,6.83,1,0.08,11,4,36%,0.83,0.3,0,0,-,5,0.89,10,0.84,2,0.15,33,2.49,739,55.66,631,47.52,85%,110,29,26%,13,0.98,11,186.5km,49,3.69,25,1.88,51%,0,15,1.13,83%,14,1,0,16,1.21,13,-,-,-,-,-,-,-,-,18,0,-,0,12,49.79,18,14.046,0.98
- - -,Wnt,Alex Robertson,M/AM (C),Reims,,France (Ligue 1 Uber Eats),-,"£16,750 p/w",30/6/2031,PER,ENG,-,182 cm,75 kg,Either,26,Fairly Determined,Scouting Required,£3.6M - £5.4M,28,"2,212",2,6,-,0.05,2.05,0.05,0.083,0.085,0.98,0.207,26,0.071,1.302,7.65,28,28,"2,212",149.33,6.81,2,0.08,24,7,29%,0.98,0.28,0,0,-,2,2.05,8,1.58,6,0.24,29,1.18,"1,683",68.48,"1,443",58.71,86%,21,5,23%,3,0.12,9,340.9km,130,5.29,94,3.82,72%,0,32,1.3,76%,35,3,1,35,1.42,46,-,-,-,-,-,-,-,-,42,0,-,0,,79,42,13.87,1.87
- - -,,Jordan Lotomba,"D/WB/M (RL), AM (R)",Aston Villa,,England (Premier Division),-,"£83,000 p/w",30/6/2031,SUI,COD,-,177 cm,67 kg,Right,30,Balanced,Scouting Required,£11.5M - £14M,34 (1),"3,055",0,1,-,0.81,0.81,0.81,0.024,0.058,,0.028,-12,0.057,1.591,14.03,34 (1),34,"3,055",176.94,6.85,0,-,14,1,7%,0.41,0.03,0,0,-,4,0.81,2,0.28,1,0.03,36,1.06,"1,706",50.26,"1,575",46.4,92%,226,56,24%,66,1.94,50,412.9km,244,7.19,154,4.54,63%,6,54,1.59,77%,38,4,0,112,3.3,133,-,-,-,-,-,-,-,-,70,0,-,0,1,87.29,70,12.164,3.92
- - -,,Fahd Moufi,D/WB (R),Granada,,Spain (First Division),-,"£25,500 p/w",30/6/2030,MAR,FRA,-,176 cm,70 kg,Right,33,Balanced,Scouting Required,£210K - £2.1M,35 (2),"2,908",0,3,-,2.7,2.7,2.7,0.084,0.193,1.85,0.097,-3,0.127,1.764,16.16,35 (2),35,"2,908",166.39,6.88,0,-,14,2,14%,0.43,0.06,0,0,-,5,2.7,5,0.19,3,0.09,31,0.96,"1,519",47.01,"1,379",42.68,91%,130,28,21%,49,1.52,57,401.4km,235,7.27,173,5.35,74%,3,57,1.76,90%,54,8,2,103,3.19,197,-,-,-,-,-,-,-,-,63,0,-,0,2,78.59,63,12.423,6.10
- - -,,Mehdi Zerkane,M/AM (RC),Rennes,,France (Ligue 1 Uber Eats),-,"£21,500 p/w",30/6/2031,ALG,FRA,-,186 cm,72 kg,Left,29,Resolute,Scouting Required,£850K - £4.8M,17 (10),"1,587",4,3,-,-0.16,3.84,-0.16,0.218,0.094,0.52,0.167,-18,0.048,0.851,8.34,17 (10),17,"1,587",147.58,6.83,4,0.23,41,16,39%,2.33,0.91,0,0,-,2,3.84,3,1.12,3,0.17,18,1.02,"1,176",66.69,"1,013",57.45,86%,22,6,27%,23,1.3,29,269.4km,152,8.62,100,5.67,66%,0,15,0.85,71%,11,1,0,28,1.59,24,-,-,-,-,-,-,-,-,21,0,-,2,10,58.78,21,15.278,1.36
- - -,,Edmond Tapsoba,D (C),Bayer 04,,Germany (Bundesliga),-,"£68,000 p/w",30/6/2030,BFA,GER,-,194 cm,85 kg,Right,30,Balanced,Scouting Required,£20M - £30M,8 (5),813,0,0,-,0.76,0.76,0.76,0.084,,,,-1,0,0.3,17.98,8 (5),8,813,127.31,6.77,0,-,4,0,0%,0.44,0,0,0,-,0,0.76,1,0.26,0,-,0,-,600,66.42,583,64.54,97%,0,0,0%,1,0.11,5,95.4km,107,11.85,83,9.19,78%,1,3,0.33,33%,4,0,0,23,2.55,61,-,-,-,-,-,-,-,-,9,0,-,0,5,62.54,9,10.561,6.75
- - -,,Willi Orbán,"D (C), DM",Hoffenheim,,Germany (Bundesliga),-,"£44,500 p/w",30/6/2030,HUN,GER,-,186 cm,85 kg,Right,36,Spirited,Scouting Required,Not for Sale,35,"3,080",0,1,-,1.11,1.11,1.11,0.032,,2.7,0.143,10,0.189,0.994,21.98,35,35,"3,080",177.41,7.04,0,-,6,2,33%,0.18,0.06,0,0,-,3,1.11,1,0.04,1,0.03,7,0.2,"2,374",69.37,"2,225",65.02,94%,2,0,0%,1,0.03,11,342.8km,447,13.06,349,10.2,78%,11,34,0.99,92%,21,7,0,76,2.22,264,-,-,-,-,-,-,-,-,37,0,-,1,,88,37,10.017,7.71
- - -,,Ademola Lookman,"M/AM (RL), ST (C)",Levante,,Spain (First Division),-,"£52,000 p/w",30/6/2031,NGA,ENG,-,174 cm,70 kg,Right,31,Fairly Ambitious,Scouting Required,£12.5M - £19M,20 (8),"1,612",2,0,-,3.39,5.39,3.39,0.301,0.142,2.41,0,-17,0,0.949,4.88,20 (8),20,"1,612",158.92,6.78,2,0.11,38,11,29%,2.12,0.61,0,0,-,13,5.39,2,0.13,0,-,17,0.95,710,39.64,597,33.33,84%,35,12,34%,27,1.51,37,216.9km,118,6.59,43,2.4,36%,0,17,0.95,77%,20,0,0,17,0.95,19,-,-,-,-,-,-,-,-,22,0,-,0,8,57.57,22,12.11,1.06
- - -,Wnt,Malo Gusto,"D/WB (R), DM, M (C)",Brighton,,England (Premier Division),-,"£76,000 p/w",30/6/2033,FRA,,-,180 cm,69 kg,Right Only,25,Balanced,Scouting Required,£22M - £33M,37,"3,241",0,2,-,0.99,0.99,0.99,0.027,0.083,,0.054,7,0.03,1.444,14.4,37,37,"3,241",177.3,6.93,0,-,12,2,17%,0.33,0.06,0,0,-,9,0.99,8,0.25,2,0.06,37,1.03,"1,869",51.9,"1,712",47.54,92%,232,44,18%,63,1.75,37,446.3km,274,7.61,208,5.78,76%,4,52,1.44,79%,44,2,0,124,3.44,140,-,-,-,-,-,-,-,-,66,0,-,0,,87.59,66,12.393,3.89
- - -,Inj,Faustino Anjorin,"M (C), AM (RLC)",Borussia Dortmund,,Germany (Bundesliga),-,"£45,500 p/w",30/6/2031,ENG,NGA,-,183 cm,80 kg,Right,27,Balanced,Scouting Required,£7M - £10.5M,5 (27),"1,021",3,3,-,1.97,3.45,2.45,0.304,0.082,0.58,0.273,-9,0.083,0.881,5.53,5 (27),5,"1,021",54.11,7.01,3,0.26,42,14,33%,3.7,1.23,2,2,100%,2,4.97,1,0.1,3,0.26,11,0.97,679,59.85,593,52.27,87%,10,1,10%,10,0.88,15,154.3km,59,5.2,41,3.61,69%,0,10,0.88,83%,6,1,0,10,0.88,10,-,-,-,-,-,-,-,-,12,2,83%,0,27,31.91,12,13.601,0.88
- - -,Trn,Rafa Mir,ST (C),West Ham,,England (Premier Division),£125K,"£100,000 p/w",30/6/2029,ESP,ENG,-,186 cm,75 kg,Right,31,Ambitious,Scouting Required,£130K,1,64,0,0,-,0.04,0.04,0.04,0.04,,,,-1,0,1,,1,1,64,64,6.3,0,-,1,0,0%,-,-,0,0,-,0,0.04,0,-,0,-,0,-,24,-,16,-,67%,0,0,0%,0,-,1,10.1km,8,-,5,-,63%,0,1,1.41,100%,0,0,0,0,-,1,-,-,-,-,-,-,-,-,1,0,-,0,,64,1,14.203,1.41
- - -,,João Silva,D (LC),FC Bayern,,Germany (Bundesliga),-,"£11,000 p/w",30/6/2031,POR,,-,178 cm,75 kg,Left,22,Driven,Scouting Required,£30M - £45M,0 (3),78,0,0,-,,,,,,,,-1,0,2,12,0 (3),-,78,49.5,6.6,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,1.15,68,78.46,62,71.54,91%,4,1,25%,0,-,1,13.0km,3,3.46,3,3.46,100%,0,2,2.31,100%,0,0,0,1,1.15,5,-,-,-,-,-,-,-,-,2,0,-,0,3,,2,15,5.77
- - -,,Taiwo Awoniyi,"AM (RL), ST (C)",Union Berlin,,Germany (Bundesliga),-,"£38,500 p/w",30/6/2031,NGA,GER,-,178 cm,74 kg,Right,31,Balanced,Scouting Required,Not for Sale,31,"2,530",16,5,-,-6.49,9.51,-6.49,0.338,0.101,1.58,0.185,-53,0,0.676,5.27,31,31,"2,530",81.61,7.14,16,0.57,94,48,51%,3.34,1.71,0,0,-,15,9.51,8,0.28,5,0.18,27,0.96,"1,073",38.17,878,31.23,82%,11,4,36%,40,1.42,81,347.1km,254,9.04,100,3.56,39%,0,19,0.68,95%,28,0,0,22,0.78,27,-,-,-,-,-,-,-,-,20,0,-,3,,81.61,20,12.347,0.96
- - -,,Cheick Doucouré,"D (C), DM, M (C)",RC Lens,,France (Ligue 1 Uber Eats),-,"£42,000 p/w",30/6/2031,MLI,FRA,-,180 cm,72 kg,Right,29,Resolute,Scouting Required,£28M - £33M,32 (1),"2,748",1,4,-,1.04,2.04,1.04,0.067,0.073,1.47,0.129,30,0.149,1.67,9.34,32 (1),32,"2,748",254.79,6.97,1,0.03,28,11,39%,0.92,0.36,0,0,-,3,2.04,5,0.82,4,0.13,31,1.02,"2,251",73.72,"2,047",67.04,91%,18,3,16%,4,0.13,14,389.3km,165,5.4,115,3.77,70%,2,51,1.67,76%,44,10,1,44,1.44,80,-,-,-,-,-,-,-,-,67,0,-,0,1,83.27,67,12.75,2.62
- - -,Bid,Borja Mayoral,"AM (RLC), ST (C)",Nottm Forest,,England (Premier Division),-,"£56,000 p/w",30/6/2030,ESP,,-,182 cm,73 kg,Right,32,Fairly Determined,Scouting Required,£4.6M - £7M,35 (1),"2,441",5,1,-,3.07,7.31,2.31,0.27,0.104,1.78,0.042,-14,0,0.59,5.13,35 (1),35,"2,441",129.97,6.7,5,0.18,70,32,46%,2.58,1.18,1,0,0%,13,8.07,0,-,1,0.04,24,0.88,"1,015",37.42,879,32.41,87%,16,2,12%,27,1,53,339.1km,282,10.4,104,3.83,37%,0,16,0.59,73%,39,0,0,16,0.59,24,-,-,-,-,-,-,-,-,22,0,73%,0,1,67.81,22,12.503,0.88
- - -,,Timothy Fosu-Mensah,"D (RLC), DM, M (C)",West Brom,,England (Premier Division),-,"£38,500 p/w",30/6/2031,NED,GHA,-,185 cm,79 kg,Right,31,Fairly Determined,Scouting Required,Not for Sale,33 (1),"2,751",1,2,-,0.06,1.06,0.06,0.035,,11.32,0.067,25,0.039,1.897,14.76,33 (1),33,"2,751",170.64,6.74,1,0.03,7,3,43%,0.23,0.1,0,0,-,12,1.06,2,0.07,2,0.07,30,0.98,"1,529",50.02,"1,397",45.7,91%,155,35,22%,28,0.92,29,369.4km,240,7.85,190,6.22,79%,4,58,1.9,76%,54,3,0,74,2.42,131,-,-,-,-,-,-,-,-,76,0,-,0,1,80.91,76,12.085,4.29
- - -,,Jakub Jankto,M/AM (RLC),Bordeaux,,France (Ligue 1 Uber Eats),-,"£20,500 p/w",30/6/2029,CZE,,Trained in nation (15-21),184 cm,74 kg,Left,33,Fairly Determined,Scouting Required,£18K - £180K,21 (6),"1,693",1,4,-,0.66,1.66,0.66,0.088,0.092,1.2,0.174,10,0.1,1.754,6.63,21 (6),21,"1,693",150.52,6.64,1,0.05,18,8,44%,0.96,0.43,0,0,-,2,1.66,7,0.86,4,0.21,23,1.22,"1,263",67.14,"1,117",59.38,88%,45,11,24%,17,0.9,12,259.7km,90,4.78,51,2.71,57%,0,33,1.75,83%,22,4,0,29,1.54,22,-,-,-,-,-,-,-,-,40,0,-,0,6,62.7,40,13.806,1.17
- - -,,Juan Berrocal,D (C),Hertha Berlin,,Germany (Bundesliga),-,"£45,500 p/w",30/6/2031,ESP,,-,187 cm,78 kg,Right,30,Resolute,Scouting Required,£56M - £67M,43,"3,742",0,1,-,2.3,2.3,2.3,0.055,0.153,1.3,,7,0.044,0.914,22.1,43,43,"3,742",174.13,6.99,0,-,15,2,13%,0.36,0.05,0,0,-,3,2.3,4,0.19,1,0.02,4,0.1,"2,471",59.43,"2,339",56.26,95%,3,2,66%,7,0.17,18,436.1km,597,14.36,475,11.42,80%,7,38,0.91,84%,25,2,1,94,2.26,344,-,-,-,-,-,-,-,-,45,0,-,0,,87.02,45,10.489,8.27
- - -,Wnt,Caoimhin Kelleher,GK,West Ham,,England (Premier Division),-,"£52,000 p/w",30/6/2031,IRL,,-,188 cm,83 kg,Right,30,Professional,Scouting Required,£17.5M - £26M,6,570,0,0,5,,,,,,,,0,,,,6,6,570,95,7.42,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,2,0.32,202,31.89,102,16.11,50%,-,-,-,0,-,0,42.3km,-,-,-,-,-,0,-,-,-,0,0,0,1,0.16,-,1,0.16,5,-989%,16,3,9,-7%,0,0,-,0,,95,,6.679,
- - -,Wnt,Marvin Park,"D/WB/M (R), AM (RL)",Granada,,Spain (First Division),-,"£22,000 p/w",30/6/2031,KOR,NGA,-,177 cm,63 kg,Right,28,Balanced,Scouting Required,£350K - £3.6M,36 (2),"2,717",6,2,-,-3.27,2.73,-3.27,0.09,0.105,4.03,0.041,-18,0.065,1.093,6.03,36 (2),36,"2,717",139.96,6.9,6,0.2,26,15,58%,0.86,0.5,0,0,-,11,2.73,6,0.24,2,0.07,49,1.62,"1,241",41.11,"1,099",36.4,89%,95,11,11%,65,2.15,44,385.4km,142,4.7,66,2.19,46%,0,33,1.09,72%,26,3,0,51,1.69,45,-,-,-,-,-,-,-,-,46,0,-,0,2,71.5,46,12.766,1.49
- - -,,Răzvan Marin,"DM, M/AM (C)",Fiorentina,,Italy (Serie A),-,"£47,000 p/w",30/6/2030,ROU,,-,177 cm,70 kg,Right,32,Spirited,Scouting Required,Not for Sale,39,"3,084",0,6,-,2.78,2.02,2.02,0.059,0.092,0.99,0.087,6,0.07,1.255,6.39,39,39,"3,084",245.46,6.89,0,-,22,9,41%,0.64,0.26,1,0,0%,2,2.78,12,0.8,6,0.18,69,2.01,"2,595",75.73,"2,228",65.02,86%,131,35,26%,8,0.23,20,460.9km,126,3.68,80,2.33,63%,2,43,1.25,75%,26,4,0,46,1.34,48,-,-,-,-,-,-,-,-,57,0,75%,2,,79.08,57,13.45,1.40
