,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck C,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean Sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM
,George Hirst,ST (C),Ipswich,,England (Premier Division),-,"£33,000 p/w",30/6/2028,ENG,,-,191 cm,81 kg,Right,26,,Scouting Required,£6.8M - £10.5M,3 (21),3,652,71.75,6.66,5,0.69,35,16,46%,4.83,2.21,0,0,-,3,5.06,1,0.35,0,-,3,0.41,171,23.6,152,20.98,89%,1,0,-,6,0.83,11,88.0km,87,12.01,33,4.56,38%,0,13,1.79,93%,7,0,0,5,0.69,2,-,-,-,-,-,-,-,-,-,-,-,0
Lst,James Justin,"D (RLC), WB (RL)",OM,Leicester,France (Ligue 1 Uber Eats),£2.5M,"£65,000 p/w",30/6/2029,ENG,LCA,-,183 cm,80 kg,Right,26,,Scouting Required,£2.5M,1 (1),1,53,26.5,6.7,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,24,-,20,-,83%,0,0,-,1,-,0,9.4km,2,-,1,-,50%,0,2,-,100%,0,0,0,3,-,3,-,-,-,-,-,-,-,-,-,-,-,0
,Luca De La Torre,M/AM (RLC),Vigo,,Spain (First Division),-,"£22,500 p/w",30/6/2029,USA,ESP,-,177 cm,68 kg,Left,26,Balanced,Media-friendly,£10.5M - £13M,29 (2),29,"2,358",221.33,6.75,3,0.11,23,10,43%,0.88,0.38,1,1,100%,6,3.49,2,0.34,1,0.04,29,1.11,"1,331",50.8,"1,179",45,89%,29,7,24%,27,1.03,12,313.4km,69,2.63,15,0.57,22%,0,39,1.49,71%,23,1,1,37,1.41,10,-,-,-,-,-,-,-,-,-,-,-,1
,Benjamin White,"D (RC), WB (R)",Arsenal,,England (Premier Division),-,"£175,000 p/w",30/6/2028,ENG,,-,185 cm,78 kg,Right,27,Resolute,"Media-friendly, Reserved",£162M - £195M,34,34,"3,019",266.15,7.36,2,0.06,13,4,31%,0.39,0.12,0,0,-,1,1.03,10,1.9,10,0.3,32,0.95,"1,881",56.07,"1,709",50.95,91%,48,9,18%,46,1.37,31,433.8km,189,5.63,122,3.64,65%,6,106,3.16,89%,34,5,0,94,2.8,34,-,-,-,-,-,-,-,-,-,-,-,3
Wnt,Ezri Konsa,D (RC),Aston Villa,,England (Premier Division),-,"£90,000 p/w",30/6/2028,ENG,COD,-,183 cm,77 kg,Right,27,,Scouting Required,£47M - £60M,31,31,"2,773",268.24,7.16,2,0.06,16,6,38%,0.52,0.19,0,0,-,1,2.3,7,0.78,3,0.1,15,0.49,"2,114",68.61,"1,987",64.49,94%,11,2,18%,13,0.42,17,361.6km,233,7.56,167,5.42,72%,10,38,1.23,83%,16,4,0,63,2.04,26,-,-,-,-,-,-,-,-,-,-,-,0
,Ademola Lookman,"AM (RLC), ST (C)",Bournemouth,,England (Premier Division),-,"£85,000 p/w",30/6/2029,NGA,ENG,-,174 cm,71 kg,Right,27,Fairly Determined,Media-friendly,£58M - £84M,28,28,"1,883",122.55,7.1,5,0.24,42,13,31%,2.01,0.62,0,0,-,10,6.08,5,0.26,3,0.14,23,1.1,772,36.9,664,31.74,86%,60,8,13%,98,4.68,37,261.1km,82,3.92,27,1.29,33%,2,49,2.34,82%,23,0,0,42,2.01,14,-,-,-,-,-,-,-,-,-,-,-,3
,Max Kilman,D (C),West Ham,,England (Premier Division),-,"£70,000 p/w",30/6/2031,ENG,RUS,-,194 cm,89 kg,Left,27,,Scouting Required,£4.4M - £7M,0 (2),-,46,46,6.65,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,29,-,23,-,79%,0,0,-,0,-,0,6.7km,3,-,1,-,33%,0,-,-,-,0,0,0,0,-,1,-,-,-,-,-,-,-,-,-,-,-,0
,Matty Cash,D/WB (R),Aston Villa,,England (Premier Division),-,"£70,000 p/w",30/6/2027,POL,ENG,-,185 cm,79 kg,Right,27,,Scouting Required,£26M - £33M,31,31,"2,694",265.83,6.88,0,-,18,4,22%,0.6,0.13,0,0,-,2,1.54,6,0.85,2,0.07,28,0.94,"1,811",60.5,"1,628",54.39,90%,47,5,10%,48,1.6,26,399.6km,126,4.21,82,2.74,65%,2,81,2.71,73%,52,8,0,53,1.77,21,-,-,-,-,-,-,-,-,-,-,-,2
,Luke Woolfenden,D (C),Ipswich,,England (Premier Division),-,"£59,000 p/w",30/6/2028,ENG,,-,191 cm,80 kg,Right Only,26,,Scouting Required,£18.5M - £24M,33,33,"2,970",180,6.81,0,-,8,1,13%,0.24,0.03,0,0,-,2,0.7,2,0.17,2,0.06,8,0.24,"2,157",65.36,"2,006",60.79,93%,5,3,60%,12,0.36,12,375.1km,199,6.03,133,4.03,67%,9,45,1.36,79%,22,10,0,62,1.88,30,-,-,-,-,-,-,-,-,-,-,-,0
Wnt,Lewis O'Brien,"DM, M/AM (C)",Nottm Forest,,England (Premier Division),£6.25M,"£45,000 p/w",30/6/2027,ENG,,-,173 cm,71 kg,Left,26,,Scouting Required,£6.2M,0 (12),-,294,52.6,6.65,1,0.31,13,5,38%,3.98,1.53,0,0,-,0,1.83,0,-,0,-,1,0.31,113,34.59,92,28.16,81%,3,0,-,3,0.92,2,35.1km,15,4.59,2,0.61,13%,0,4,1.22,80%,1,0,0,3,0.92,1,-,-,-,-,-,-,-,-,-,-,-,0
Trn,Lloyd Kelly,D (LC),A. Madrid,Newcastle,Spain (First Division),-,"£100,000 p/w",30/6/2029,ENG,,-,191 cm,86 kg,Left,26,,Scouting Required,£4.5M - £6.8M,1 (2),1,120,40,6.85,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,77,57.75,72,54,94%,1,0,-,0,-,0,15.5km,5,3.75,3,2.25,60%,1,7,5.25,100%,1,0,0,2,1.5,3,-,-,-,-,-,-,-,-,-,-,-,0
,Marcus Tavernier,"M (L), AM (RLC)",Bournemouth,,England (Premier Division),-,"£80,000 p/w",30/6/2029,ENG,,-,178 cm,73 kg,Left,25,,Scouting Required,£47M - £60M,25 (1),25,"2,092",80.46,7.07,3,0.13,42,16,38%,1.81,0.69,0,0,-,10,5.42,3,0.13,0,-,34,1.46,882,37.94,725,31.19,82%,198,31,15%,78,3.36,28,299.3km,131,5.64,26,1.12,20%,1,69,2.97,92%,25,1,0,41,1.76,13,-,-,-,-,-,-,-,-,-,-,-,0
,Marlon Fossey,D/WB (R),SV Werder,,Germany (Bundesliga),-,"£13,250 p/w",30/6/2028,USA,ENG,-,179 cm,77 kg,Right,26,,Scouting Required,£350K - £3.5M,0 (3),-,75,25,6.6,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,38,45.6,33,39.6,87%,2,0,-,1,1.2,1,11.2km,2,2.4,1,1.2,50%,0,4,4.8,100%,1,0,0,2,2.4,0,-,-,-,-,-,-,-,-,-,-,-,0
Inj,Anfernee Dijksteel,"D (R), DM",Middlesbrough,,England (Premier Division),-,"£19,250 p/w",30/6/2025,SUR,NED,-,183 cm,78 kg,Right,28,,Scouting Required,£150K - £1.5M,13,13,931,160.08,6.67,0,-,4,0,0%,0.39,0,0,0,-,0,0.42,1,0.11,0,-,6,0.58,491,47.47,424,40.99,86%,34,5,14%,11,1.06,4,124.7km,66,6.38,44,4.25,67%,0,31,3,82%,10,3,0,29,2.8,15,-,-,-,-,-,-,-,-,-,-,-,0
,Ryan Sessegnon,D/WB/M/AM (L),Fulham,,England (Premier Division),-,"£77,000 p/w",30/6/2028,ENG,CIV,-,178 cm,71 kg,Left,24,,Scouting Required,£35M - £54M,1 (4),1,125,35,7,0,-,0,-,-,-,-,0,0,-,0,0,0,-,1,0.72,2,1.44,54,38.88,46,33.12,85%,3,0,-,2,1.44,4,16.0km,9,6.48,0,0,0%,0,5,3.6,100%,0,0,0,2,1.44,0,-,-,-,-,-,-,-,-,-,-,-,0
Lst,Ellery Balcombe,GK,Brentford,,England (Premier Division),£225K,"£15,000 p/w",30/6/2027,ENG,,-,191 cm,86 kg,Right,25,,Scouting Required,£220K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Ethan Ampadu,"D (C), DM, M (C)",Leeds,,England (Premier Division),-,"£47,500 p/w",30/6/2027,WAL,ENG,-,182 cm,78 kg,Right,24,,Scouting Required,£36M - £55M,27 (2),27,"2,211",147.45,6.8,1,0.04,7,3,43%,0.28,0.12,0,0,-,2,0.7,2,0.37,1,0.04,13,0.53,"1,473",59.96,"1,372",55.85,93%,4,2,50%,6,0.24,8,296.6km,152,6.19,92,3.74,61%,4,34,1.38,74%,11,1,0,46,1.87,22,-,-,-,-,-,-,-,-,-,-,-,0
,Morgan Gibbs-White,M/AM (C),Nottm Forest,,England (Premier Division),-,"£63,000 p/w",30/6/2029,ENG,JAM,-,178 cm,72 kg,Right,25,,Scouting Required,£24M - £37M,27,27,"1,913",136.78,6.74,3,0.14,61,16,26%,2.87,0.75,0,0,-,4,6.73,11,1.19,1,0.05,40,1.88,768,36.13,660,31.05,86%,162,14,5%,37,1.74,24,290.1km,75,3.53,29,1.36,39%,2,38,1.79,81%,27,4,0,33,1.55,18,-,-,-,-,-,-,-,-,-,-,-,0
Inj,Leif Davis,D/WB (L),Ipswich,,England (Premier Division),-,"£62,000 p/w",30/6/2029,ENG,,-,178 cm,67 kg,Left Only,25,,Scouting Required,£33M - £42M,27,27,"2,347",176.39,7,0,-,8,1,13%,0.31,0.04,0,0,-,2,1.95,4,0.18,4,0.15,51,1.96,"1,276",48.93,"1,114",42.72,87%,200,39,7%,32,1.23,38,322.1km,104,3.99,56,2.15,54%,7,73,2.8,75%,18,3,0,75,2.88,30,-,-,-,-,-,-,-,-,-,-,-,1
Lst,Billy Crellin,GK,Everton,,England (Premier Division),£10.5K,"£4,000 p/w",30/6/2025,ENG,,-,186 cm,73 kg,Right,24,,Scouting Required,£10K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Djed Spence,D/WB/M/AM (R),Bournemouth,,England (Premier Division),-,"£45,000 p/w",30/6/2029,ENG,KEN,-,184 cm,68 kg,Right,24,,Scouting Required,£13.5M - £21M,0 (1),-,45,45,6.6,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,-,25,-,22,-,88%,2,0,-,0,-,2,6.0km,5,-,3,-,60%,0,2,-,100%,1,0,0,1,-,1,-,-,-,-,-,-,-,-,-,-,-,0
,Erling Haaland,ST (C),Man City,,England (Premier Division),-,"£525,000 p/w",30/6/2029,NOR,ENG,-,195 cm,93 kg,Left,24,Driven,Evasive,£284M - £310M,27 (1),27,"2,163",163,7.44,23,0.96,100,50,50%,4.16,2.08,6,4,67%,25,15.72,3,0.26,3,0.12,17,0.71,470,19.56,398,16.56,85%,13,3,23%,32,1.33,57,288.1km,198,8.24,123,5.12,62%,0,32,1.33,76%,42,1,0,20,0.83,3,-,-,-,-,-,-,-,-,-,-,-,3
Inj,Pedro Neto,"M (L), AM (RL)",Brentford,Chelsea,England (Premier Division),£31M,"£41,500 p/w",30/6/2031,POR,,-,172 cm,62 kg,Left,24,,Scouting Required,£31M,1,1,75,75,6.9,0,-,2,0,0%,2.4,0,0,0,-,0,0.39,0,-,0,-,1,1.2,30,36,23,27.6,77%,5,2,33%,3,3.6,4,9.6km,3,3.6,1,1.2,33%,0,2,2.4,67%,3,0,0,1,1.2,0,-,-,-,-,-,-,-,-,-,-,-,0
,Harry Darling,D (RC),Leeds,,England (Premier Division),-,"£18,250 p/w",30/6/2026,ENG,,-,188 cm,84 kg,Right,25,,Scouting Required,£6.8M - £10.5M,8 (4),8,853,154.78,6.78,0,-,7,2,29%,0.74,0.21,0,0,-,0,0.63,0,-,1,0.11,8,0.84,451,47.58,403,42.52,89%,12,0,-,11,1.16,8,119.6km,64,6.75,44,4.64,69%,3,21,2.22,91%,10,5,0,29,3.06,13,-,-,-,-,-,-,-,-,-,-,-,1
Inj,Jayden Bogle,D/WB (R),Leeds,,England (Premier Division),-,"£27,500 p/w",30/6/2028,ENG,,-,178 cm,69 kg,Right,24,,Scouting Required,£5.4M - £6.8M,23,23,"1,823",167.65,6.62,0,-,10,2,20%,0.49,0.1,0,0,-,1,0.87,2,0.12,0,-,9,0.44,953,47.05,826,40.78,87%,61,11,18%,35,1.73,15,261.3km,105,5.18,67,3.31,64%,1,51,2.52,84%,17,1,0,60,2.96,28,-,-,-,-,-,-,-,-,-,-,-,0
Wnt,Matt O'Riley,"DM, M/AM (C)",Brighton,,England (Premier Division),£2.3M,"£45,000 p/w",30/6/2029,DEN,ENG,-,187 cm,77 kg,Left,24,,Scouting Required,£2.3M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Jack Clarke,AM (RL),Ipswich,,England (Premier Division),-,"£40,000 p/w",30/6/2029,ENG,,-,181 cm,74 kg,Right,24,,Scouting Required,£43M - £67M,30 (2),30,"2,030",137.31,7.05,8,0.35,38,21,55%,1.68,0.93,4,2,50%,8,8.7,7,0.54,4,0.18,25,1.11,749,33.21,629,27.89,84%,62,4,6%,79,3.5,37,273.7km,95,4.21,18,0.8,19%,0,57,2.53,84%,21,0,0,49,2.17,13,-,-,-,-,-,-,-,-,-,-,-,1
,Brennan Johnson,"M (R), AM (RLC), ST (C)",Tottenham,,England (Premier Division),-,"£205,000 p/w",30/6/2029,WAL,ENG,-,180 cm,73 kg,Right,23,Balanced,Media-friendly,£63M - £95M,29 (1),29,"2,227",142.52,7.39,8,0.32,53,22,42%,2.14,0.89,4,3,75%,9,5.47,4,0.19,7,0.28,34,1.37,951,38.43,809,32.69,85%,91,9,9%,91,3.68,30,321.3km,119,4.81,50,2.02,42%,1,53,2.14,88%,27,0,0,37,1.5,11,-,-,-,-,-,-,-,-,-,-,-,4
,Arvin Appiah,"M (R), AM (RL), ST (C)",Almería,,Spain (First Division),-,"£17,750 p/w",30/6/2028,ENG,GHA,-,177 cm,81 kg,Right,24,,Scouting Required,£700K - £1.6M,0 (3),-,131,43.67,6.83,0,-,3,2,67%,2.06,1.37,0,0,-,0,0.26,0,-,0,-,2,1.37,45,30.92,36,24.73,80%,4,1,25%,4,2.75,2,16.2km,5,3.44,0,0,0%,0,4,2.75,100%,0,0,0,4,2.75,2,-,-,-,-,-,-,-,-,-,-,-,0
Loa,Ben Winterbottom,GK,Brentford,,England (Premier Division),-,"£1,800 p/w",30/6/2025,ENG,,-,188 cm,66 kg,Left,23,,Scouting Required,£0 - £35K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loa,Luca Ashby-Hammond,GK,Fulham,,England (Premier Division),-,"£2,500 p/w",30/6/2025,ENG,,-,185 cm,76 kg,Right,23,,Scouting Required,£500 - £5K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sol Brynn,GK,Middlesbrough,,England (Premier Division),-,"£5,500 p/w",30/6/2026,ENG,,-,184 cm,80 kg,Right,24,,Scouting Required,£550K - £1.2M,3 (2),3,370,160,6.18,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,99,24.08,70,17.03,71%,-,-,-,0,-,1,23.0km,-,-,-,-,-,0,0,0,0%,0,0,0,0,-,-,8,1.95,1,-1106%,5,2,6,-9%,2,0,0%,0
Loa,Myles Roberts,GK,Watford,,England (Premier Division),-,"£1,100 p/w",30/6/2025,ENG,,-,185 cm,75 kg,Right Only,23,,Scouting Required,£0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lst,Antoine Semenyo,"AM (RL), ST (C)",AS Monaco,Bournemouth,France (Ligue 1 Uber Eats),£16.75M,"£45,000 p/w",30/6/2029,GHA,ENG,-,178 cm,63 kg,Right,25,,Scouting Required,£16.5M,2 (21),2,614,77.64,6.91,2,0.29,35,14,40%,5.13,2.05,1,1,100%,1,4.17,2,0.36,0,-,7,1.03,169,24.77,142,20.81,84%,5,0,-,10,1.47,14,83.6km,35,5.13,7,1.03,20%,0,12,1.76,80%,6,0,0,7,1.03,2,-,-,-,-,-,-,-,-,-,-,-,0
Loa,James Hill,D (RC),Bournemouth,,England (Premier Division),-,"£13,500 p/w",30/6/2028,ENG,,-,184 cm,80 kg,Right,23,,Scouting Required,£3.8M - £5.8M,1,1,90,90,6.3,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,1,46,46,41,41,89%,3,0,-,0,-,0,13.3km,5,5,2,2,40%,1,4,4,100%,0,0,0,3,3,1,-,-,-,-,-,-,-,-,-,-,-,0
Unh,Charlie Cresswell,D (C),Toulouse FC,,France (Ligue 1 Uber Eats),-,"£5,000 p/w",30/6/2028,ENG,,-,190 cm,87 kg,Right,22,,Scouting Required,£7.6M - £9.6M,22,22,"1,980",180,6.59,0,-,8,1,13%,0.36,0.05,0,0,-,0,0.33,0,-,0,-,4,0.18,"1,344",61.09,"1,253",56.95,93%,1,0,-,4,0.18,10,253.6km,150,6.82,110,5,73%,4,17,0.77,65%,23,9,0,46,2.09,14,-,-,-,-,-,-,-,-,-,-,-,0
Loa,Cain Sykes,"D (RC), M (C)",Middlesbrough,,England (Premier Division),-,"£2,200 p/w",30/6/2027,ENG,,-,178 cm,74 kg,Right,22,,Scouting Required,£4K - £40K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ask,Hayden Hackney,"DM, M (C)",Middlesbrough,,England (Premier Division),-,"£19,750 p/w",30/6/2027,ENG,SCO,-,178 cm,73 kg,Right,22,,Scouting Required,£25M - £39M,28,28,"2,042",118.96,6.69,1,0.04,7,2,29%,0.31,0.09,0,0,-,1,0.44,2,0.09,4,0.18,35,1.54,"1,210",53.33,"1,096",48.31,91%,22,3,15%,17,0.75,22,302.3km,56,2.47,14,0.62,25%,2,57,2.51,73%,31,2,0,33,1.45,22,-,-,-,-,-,-,-,-,-,-,-,0
,Andrew Omobamidele,D (C),Nottm Forest,,England (Premier Division),-,"£40,000 p/w",30/6/2027,IRL,NGA,-,190 cm,85 kg,Right,22,,Scouting Required,£15.5M - £20M,3 (1),3,343,174.33,6.82,0,-,1,0,0%,0.26,0,0,0,-,0,0.11,0,-,0,-,1,0.26,208,54.58,184,48.28,88%,0,0,-,0,-,1,44.8km,24,6.3,16,4.2,67%,1,3,0.79,60%,5,2,0,5,1.31,5,-,-,-,-,-,-,-,-,-,-,-,0
Loa,Alex Gilbert,"M (C), AM (L), ST (C)",Middlesbrough,,England (Premier Division),-,"£4,400 p/w",30/6/2027,IRL,ENG,-,183 cm,77 kg,Left Only,23,,Scouting Required,£500K - £1.1M,0 (1),-,7,7,-,0,-,1,0,0%,-,-,0,0,-,0,0.09,0,-,0,-,0,-,2,-,2,-,100%,0,0,-,0,-,0,1.5km,1,-,1,-,100%,0,-,-,-,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0
,Flavien-Enzo Boyomo,D (RC),Atlético Pamplona,,Spain (First Division),-,"£19,750 p/w",30/6/2029,CMR,FRA,-,180 cm,76 kg,Right,23,,Scouting Required,£25M - £31M,21 (3),21,"1,972",174.53,7.02,1,0.05,8,2,25%,0.37,0.09,0,0,-,0,0.85,1,0.19,1,0.05,9,0.41,"1,454",66.36,"1,318",60.15,91%,8,4,50%,6,0.27,7,244.5km,115,5.25,76,3.47,66%,5,28,1.28,80%,9,2,0,43,1.96,27,-,-,-,-,-,-,-,-,-,-,-,1
,Mattie Pollock,D (C),Watford,,England (Premier Division),-,"£6,250 p/w",30/6/2029,ENG,,-,190 cm,87 kg,Right,23,,Scouting Required,£4.5M - £7M,10 (2),10,887,162.45,6.5,0,-,3,0,0%,0.3,0,0,0,-,0,0.59,0,-,0,-,0,-,558,56.62,506,51.34,91%,1,1,100%,0,-,1,109.6km,72,7.31,57,5.78,79%,2,5,0.51,45%,4,0,0,18,1.83,13,-,-,-,-,-,-,-,-,-,-,-,0
,Michael Olise,"M (R), AM (RC)",FC Bayern,,Germany (Bundesliga),-,"£220,000 p/w",30/6/2029,ENG,NGA,-,184 cm,71 kg,Left,23,,Scouting Required,£39M - £59M,20 (6),20,"1,716",189.03,7.26,3,0.16,44,17,39%,2.31,0.89,0,0,-,6,3.88,15,3.01,6,0.31,41,2.15,742,38.92,596,31.26,80%,131,25,12%,66,3.46,26,257.5km,88,4.62,30,1.57,34%,0,34,1.78,92%,20,2,0,32,1.68,15,-,-,-,-,-,-,-,-,-,-,-,6
,Tommy Conway,"AM (RL), ST (C)",Middlesbrough,,England (Premier Division),-,"£2,600 p/w",30/6/2028,SCO,ENG,-,183 cm,75 kg,Right Only,22,,Scouting Required,£21M - £26M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Jude Bellingham,"DM, M/AM (C)",R. Madrid,,Spain (First Division),-,"£350,000 p/w",30/6/2029,ENG,IRL,-,186 cm,75 kg,Right,21,Perfectionist,Evasive,£234M - £255M,32,32,"2,749",259.36,7.53,12,0.39,74,29,39%,2.42,0.95,0,0,-,5,8.06,19,1.92,12,0.39,56,1.83,"1,624",53.17,"1,409",46.13,87%,57,14,29%,58,1.9,35,406.3km,102,3.34,51,1.67,50%,2,63,2.06,66%,31,6,0,45,1.47,22,-,-,-,-,-,-,-,-,-,-,-,6
Loa,Amari Miller,"AM (RL), ST (C)",Leeds,,England (Premier Division),-,"£2,700 p/w",30/6/2025,ENG,,-,179 cm,75 kg,Right,22,,Scouting Required,£0 - £35K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Loa,Adrion Pajaziti,"DM, M/AM (C)",Fulham,,England (Premier Division),-,"£1,500 p/w",30/6/2025,KOS,ALB,-,178 cm,71 kg,Right,22,,Scouting Required,£10K - £95K,0 (3),-,39,13,6.6,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,17,-,15,-,88%,0,0,-,1,-,2,5.8km,2,-,1,-,50%,0,-,-,-,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0
Wnt,Jack Hannah,"D (C), DM",Middlesbrough,,England (Premier Division),-,"£3,100 p/w",30/6/2025,ENG,SCO,-,186 cm,81 kg,Right,22,,Scouting Required,£0 - £30K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Inj,Pharrell Willis,WB/AM (L),Middlesbrough,,England (Premier Division),-,"£3,100 p/w",30/6/2025,ENG,,-,184 cm,76 kg,Unknown,21,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Josh Coburn,ST (C),Middlesbrough,,England (Premier Division),-,"£36,500 p/w",30/6/2028,ENG,,-,191 cm,89 kg,Right,22,,Scouting Required,£10.5M - £16.5M,1 (10),1,229,51.89,6.69,2,0.79,14,6,43%,5.5,2.36,1,1,100%,2,2.14,0,-,0,-,2,0.79,55,21.62,47,18.47,85%,1,0,-,1,0.39,8,25.9km,30,11.79,10,3.93,33%,0,2,0.79,50%,5,0,0,2,0.79,2,-,-,-,-,-,-,-,-,-,-,-,0
Loa,Tyler Goodrham,AM (R),Fulham,,England (Premier Division),-,"£19,750 p/w",30/6/2028,IRL,ENG,-,170 cm,60 kg,Unknown,21,,Scouting Required,Unknown,0 (1),-,36,36,6.2,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,-,15,-,13,-,87%,1,0,-,0,-,3,5.0km,3,-,1,-,33%,0,1,-,50%,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0
,Matthew Cox,GK,Brentford,,England (Premier Division),-,"£7,000 p/w",30/6/2028,ENG,,-,182 cm,74 kg,Unknown,21,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Philipp Gerster,AM (L),Heidenheim,,Germany (Bundesliga),-,£55 p/w,30/6/2026,GER,,-,169 cm,54 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Bernd Bollrath,DM,Heidenheim,,Germany (Bundesliga),-,£55 p/w,30/6/2026,GER,,-,177 cm,66 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yth,Andy Kimmich,M (R),Heidenheim,,Germany (Bundesliga),-,£55 p/w,30/6/2026,GER,,-,171 cm,57 kg,Unknown,16,,Scouting Required,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
